timestamp,Status,sensor1,sensor2,AN0,AN4,AN5,D6,D7,B7
2024-06-08 22:40:15.032,-999,-999,-999,37,-999,-999,-999,-999,-999
2024-06-08 22:40:15.678,-999,-999,-999,31,-999,-999,-999,-999,-999
2024-06-08 22:40:16.679,-999,-999,-999,30,-999,-999,-999,-999,-999
2024-06-08 22:40:17.679,-999,-999,-999,33,-999,-999,-999,-999,-999
2024-06-08 22:42:09.464,-999,-999,-999,40,-999,-999,-999,-999,-999
2024-06-08 22:42:10.134,-999,-999,-999,33,-999,-999,-999,-999,-999
2024-06-08 22:42:11.131,-999,-999,-999,30,-999,-999,-999,-999,-999
2024-06-08 22:42:14.227,-999,-999,-999,"[32, 33, 32]",-999,-999,-999,-999,-999
2024-06-08 22:42:19.228,-999,-999,-999,"[29, 29, 31]",-999,-999,-999,-999,-999
2024-06-08 22:42:22.230,-999,-999,-999,"[30, 30, 33]",-999,-999,-999,-999,-999
2024-06-08 22:42:25.231,-999,-999,-999,"[33, 33, 32]",-999,-999,-999,-999,-999
2024-06-08 23:07:22.304,-999,-999,-999,-999,-999,-999,-999,1,-999
2024-06-08 23:07:23.230,-999,-999,-999,-999,-999,-999,-999,1,-999
2024-06-08 23:07:24.225,-999,-999,-999,-999,-999,-999,-999,1,-999
2024-06-08 23:07:25.257,-999,-999,-999,-999,-999,-999,-999,1,-999
2024-06-08 23:07:26.230,-999,-999,-999,-999,-999,-999,-999,1,-999
2024-06-08 23:07:27.231,-999,-999,-999,-999,-999,-999,-999,1,-999
2024-06-08 23:07:28.230,-999,-999,-999,-999,-999,-999,-999,1,-999
2024-06-08 23:07:29.237,-999,-999,-999,-999,-999,-999,-999,1,-999
2024-06-08 23:07:30.232,-999,-999,-999,-999,-999,-999,-999,1,-999
2024-06-08 23:07:31.232,-999,-999,-999,-999,-999,-999,-999,1,-999
2024-06-08 23:07:33.228,-999,-999,-999,-999,-999,-999,1,1,-999
2024-06-08 23:07:34.191,-999,-999,-999,-999,-999,-999,-999,1,-999
2024-06-08 23:07:35.195,-999,-999,-999,-999,-999,-999,-999,1,-999
2024-06-08 23:07:36.192,-999,-999,-999,-999,-999,-999,-999,1,-999
2024-06-08 23:07:37.514,-999,-999,-999,-999,-999,-999,1,1,-999
2024-06-08 23:07:38.518,-999,-999,-999,-999,-999,-999,1,1,-999
2024-06-08 23:07:39.518,-999,-999,-999,-999,-999,-999,1,1,-999
2024-06-08 23:07:40.518,-999,-999,-999,-999,-999,-999,1,1,-999
2024-06-08 23:07:41.518,-999,-999,-999,-999,-999,-999,1,1,-999
2024-06-08 23:07:42.485,-999,-999,-999,-999,-999,-999,-999,1,-999
2024-06-08 23:07:43.485,-999,-999,-999,-999,-999,-999,-999,1,-999
2024-06-08 23:07:44.483,-999,-999,-999,-999,-999,-999,-999,0,-999
2024-06-08 23:07:45.486,-999,-999,-999,-999,-999,-999,-999,0,-999
2024-06-08 23:07:46.486,-999,-999,-999,-999,-999,-999,-999,0,-999
